src_file,category,dst_file
tests/pass/shims/aarch64/intrinsics-aarch64-neon.rs,Excluded,
tests/pass/shims/aarch64/intrinsics-aarch64-crc32.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-avx512.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-pclmulqdq.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-sse3-ssse3.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-avx.rs,Excluded,
tests/pass/shims/x86/intrinsics-sha.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-sse42.rs,Excluded,
tests/pass/issues/issue-miri-4698-stashed-diagnostic.rs,Exit 0,miri-tests/pass/issues/issue-miri-4698-stashed-diagnostic.rs
tests/pass/shims/x86/intrinsics-x86-vpclmulqdq.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-avx2.rs,Excluded,
tests/pass/shims/x86/rounding-error.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-sse.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-bmi.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-sse41.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-sse2.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-gfni.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-adx.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-pause-without-sse2.rs,Excluded,
tests/pass/shims/x86/intrinsics-x86-aes-vaes.rs,Excluded,
tests/pass/issues/issue-91636.rs,Exit 0,miri-tests/pass/issues/issue-91636.rs
tests/pass/issues/issue-34571.rs,Exit 0,miri-tests/pass/issues/issue-34571.rs
tests/pass/issues/issue-94371.rs,Exit 0,miri-tests/pass/issues/issue-94371.rs
tests/pass/issues/issue-17877.rs,Exit 0,miri-tests/pass/issues/issue-17877.rs
tests/pass/issues/issue-15523-big.rs,Exit 0,miri-tests/pass/issues/issue-15523-big.rs
tests/pass/issues/issue-26709.rs,Exit 0,miri-tests/pass/issues/issue-26709.rs
tests/pass/issues/issue-30530.rs,Exit 0,miri-tests/pass/issues/issue-30530.rs
tests/pass/issues/issue-20575.rs,Exit 0,miri-tests/pass/issues/issue-20575.rs
tests/pass/issues/issue-miri-3541-dyn-vtable-trait-normalization.rs,Exit 0,miri-tests/pass/issues/issue-miri-3541-dyn-vtable-trait-normalization.rs
tests/pass/issues/issue-15063.rs,Exit 0,miri-tests/pass/issues/issue-15063.rs
tests/pass/issues/issue-23261.rs,Exit 0,miri-tests/pass/issues/issue-23261.rs
tests/pass/shims/env/current_dir.rs,Exit 1,
tests/pass/issues/issue-miri-3282-struct-tail-normalize.rs,Exit 0,miri-tests/pass/issues/issue-miri-3282-struct-tail-normalize.rs
